,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
89,2023-10-15,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1.0,2.0,wls Wales,72.0,31240.0,Luka Modrić,4-3-3,Davide Massa,Match Report,,10.0,3.0,0,0,3.0,0,Croatia
90,2023-11-18,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,lv Latvia,69.0,6747.0,Luka Modrić,4-2-3-1,Urs Schnyder,Match Report,,14.0,6.0,0,0,0.0,1,Croatia
91,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,am Armenia,67.0,20398.0,Luka Modrić,4-3-3,Ivan Kružliak,Match Report,,21.0,11.0,0,0,2.0,1,Croatia
92,2024-06-03,19:00,Friendlies (M),Friendlies (M),Mon,Home,W,3.0,0.0,mk N. Macedonia,,8030.0,Mateo Kovačić,4-2-3-1,Matej Jug,Match Report,,,,0,0,,1,Croatia
93,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,1.0,pl Poland,45.0,56227.0,Elseid Hysaj,4-1-4-1,Slavko Vinčič,Match Report,,7.0,3.0,0,0,3.0,0,Albania
94,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,md Moldova,72.0,20944.0,Elseid Hysaj,4-1-4-1,Dennis Higler,Match Report,,12.0,5.0,0,0,1.0,1,Albania
95,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,fo Faroe Islands,49.0,2507.0,Elseid Hysaj,4-2-3-1,Chrysovalantis Theouli,Match Report,,19.0,6.0,0,1,1.0,0,Albania
96,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1.0,1.0,cz Czechia,43.0,18641.0,Berat Djimsiti,4-2-3-1,Anthony Taylor,Match Report,,1.0,1.0,0,0,3.0,0,Albania
97,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,pl Poland,39.0,21900.0,Berat Djimsiti,4-1-3-2,José Sánchez,Match Report,,7.0,3.0,0,0,2.0,1,Albania
98,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,cz Czechia,36.0,20917.0,Berat Djimsiti,4-2-3-1,Danny Makkelie,Match Report,,8.0,4.0,0,0,7.0,1,Albania
99,2023-11-17,19:00,UEFA Euro Qualifying,Group stage,Fri,Away,D,1.0,1.0,md Moldova,53.0,9537.0,Berat Djimsiti,4-3-3,William Collum,Match Report,,10.0,4.0,1,1,5.0,0,Albania
100,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,fo Faroe Islands,64.0,21456.0,Berat Djimsiti,4-3-3,Sven Jablonski,Match Report,,8.0,4.0,0,0,0.0,1,Albania
101,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,3.0,cl Chile,,,Berat Djimsiti,4-2-3-1,Luca Pairetto,Match Report,,,,0,0,,0,Albania
102,2024-03-25,19:00,Friendlies (M),Friendlies (M),Mon,Away,L,0.0,1.0,se Sweden,,17892.0,Berat Djimsiti,4-2-3-1,Marcel Bîrsan,Match Report,,,,0,0,,0,Albania
103,2024-06-03,20:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,3.0,0.0,li Liechtenstein,,200.0,Etrit Berisha,4-1-4-1,Bence Csonka,Match Report,,,,0,0,,0,Albania
104,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,cz Czechia,64.0,19045.0,Robert Lewandowski,4-2-3-1,Anastasios Sidiropoulos,Match Report,,11.0,4.0,0,0,3.0,0,Poland
105,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,al Albania,55.0,56227.0,Robert Lewandowski,4-4-2,Slavko Vinčič,Match Report,,11.0,5.0,0,0,3.0,1,Poland
106,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,md Moldova,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,20.0,5.0,0,0,1.0,0,Poland
107,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,fo Faroe Islands,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,19.0,7.0,1,1,1.0,1,Poland
108,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,al Albania,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,12.0,2.0,0,0,1.0,0,Poland
109,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,fo Faroe Islands,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,13.0,4.0,0,0,0.0,1,Poland
110,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,md Moldova,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,21.0,7.0,0,0,0.0,0,Poland
