,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
124,2023-06-14,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,2,4,Croatia,46.0,39359.0,Virgil van Dijk,4-3-3,István Kovács,Match Report,Required Extra Time,14.0,6.0,0,0,1.0,0,Netherlands,,,3,1.0
98,2023-06-15,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,L,1,2,Spain,38.0,24558.0,Leonardo Bonucci,3-5-2,Slavko Vinčič,Match Report,,8.0,3.0,1,1,5.0,0,Italy,,,3,1.0
78,2023-06-15,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,W,2,1,Italy,62.0,24558.0,Jordi Alba,4-2-3-1,Slavko Vinčič,Match Report,,19.0,7.0,0,0,2.0,0,Spain,,,3,3.0
193,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,Andorra,85.0,2490.0,Granit Xhaka,4-3-3,Balázs Berke,Match Report,,13.0,8.0,0,0,1.0,0,Switzerland,,,2,3.0
53,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4.0,0.0,Malta,66.0,16277.0,Harry Kane,4-3-3,Igor Pajač,Match Report,,16.0,8.0,2,2,0.0,1,England,,,2,3.0
74,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,N. Macedonia,52.0,14370.0,Andriy Yarmolenko,4-4-2,Lukas Fähndrich,Match Report,,6.0,3.0,0,0,3.0,0,Ukraine,,,2,3.0
180,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0.0,0.0,Kosovo,40.0,11000.0,Nicolae Stanciu,4-3-3,Danny Makkelie,Match Report,,16.0,3.0,0,0,4.0,1,Romania,,,2,2.0
168,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1.0,0.0,Northern Ireland,68.0,35701.0,Simon Kjær,4-2-3-1,Daniel Stefański,Match Report,,13.0,5.0,0,0,4.0,1,Denmark,,,1,3.0
33,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,Gibraltar,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,31.0,9.0,1,1,0.0,1,France,,,2,3.0
12,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,Norway,41.0,25791.0,Andrew Robertson,3-4-3,Matej Jug,Match Report,,5.0,3.0,0,0,2.0,0,Scotland,,,2,3.0
219,2023-06-17,18:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,Iceland,52.0,7555.0,Marek Hamšík,4-3-3,Don Robertson,Match Report,,14.0,4.0,0,0,2.0,0,Slovakia,,,2,3.0
22,2023-06-17,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,Cyprus,55.0,3763.0,Guram Kashia,3-5-2,Fábio Veríssimo,Match Report,,19.0,5.0,0,0,3.0,0,Georgia,,,2,3.0
94,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,Moldova,72.0,20944.0,Elseid Hysaj,4-1-4-1,Dennis Higler,Match Report,,12.0,5.0,0,0,1.0,1,Albania,,,1,3.0
146,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,0.0,0.0,Montenegro,72.0,6761.0,Dominik Szoboszlai,3-4-3,Jesús Gil,Match Report,,9.0,1.0,0,0,3.0,1,Hungary,,,2,2.0
206,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,Bosnia & Herz'na,62.0,55058.0,Cristiano Ronaldo,3-4-3,Davide Massa,Match Report,,10.0,5.0,0,0,3.0,1,Portugal,,,1,3.0
115,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,Austria,56.0,39237.0,Romelu Lukaku,3-5-2,Jérôme Brisard,Match Report,,17.0,2.0,0,0,2.0,0,Belgium,,,1,2.0
126,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,Belgium,44.0,39237.0,David Alaba,4-4-2,Jérôme Brisard,Match Report,,10.0,2.0,0,0,1.0,0,Austria,,,2,2.0
53,2023-06-18,20:45,UEFA Nations League,Final,Sun,Neutral,D,0 (4),0 (5),Spain,46.0,41110.0,Luka Modrić,4-3-3,Felix Zwayer,Match Report,Spain won on penalty kicks following extra time,12.0,5.0,0,0,1.0,1,Croatia,,,3,2.0
125,2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,L,2,3,Italy,61.0,21292.0,Virgil van Dijk,4-2-3-1,Glenn Nyberg,Match Report,,19.0,6.0,0,0,0.0,0,Netherlands,,,3,1.0
99,2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,3,2,Netherlands,40.0,21292.0,Gianluigi Donnarumma,4-3-3,Glenn Nyberg,Match Report,,13.0,3.0,0,0,4.0,0,Italy,,,3,3.0
79,2023-06-18,20:45,UEFA Nations League,Final,Sun,Neutral,D,0 (5),0 (4),Croatia,54.0,41110.0,Jordi Alba,4-2-3-1,Felix Zwayer,Match Report,Spain won on penalty kicks following extra time,21.0,2.0,0,0,5.0,1,Spain,,,3,2.0
194,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,2.0,2.0,Romania,73.0,14400.0,Granit Xhaka,4-3-3,Daniele Orsato,Match Report,,17.0,6.0,0,0,1.0,0,Switzerland,,,1,2.0
169,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,Slovenia,63.0,14382.0,Simon Kjær,3-4-3,François Letexier,Match Report,,10.0,2.0,0,0,1.0,0,Denmark,,,2,2.0
181,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,2.0,2.0,Switzerland,28.0,14400.0,Nicolae Stanciu,3-4-3,Daniele Orsato,Match Report,,6.0,3.0,0,0,4.0,0,Romania,,,2,2.0
34,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,Greece,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,19.0,5.0,1,1,2.0,1,France,,,1,3.0
75,2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,Malta,64.0,7543.0,Andriy Yarmolenko,4-2-3-1,Ruddy Buquet,Match Report,,19.0,8.0,1,2,2.0,1,Ukraine,,,1,3.0
54,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,7.0,0.0,N. Macedonia,67.0,70708.0,Harry Kane,4-3-3,István Kovács,Match Report,,14.0,10.0,1,1,0.0,1,England,,,1,3.0
13,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Georgia,51.0,50062.0,Andrew Robertson,5-3-2,István Vad II,Match Report,,14.0,3.0,0,0,0.0,1,Scotland,,,1,3.0
207,2023-06-20,18:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,Iceland,72.0,9517.0,Cristiano Ronaldo,5-3-2,Daniel Siebert,Match Report,,11.0,3.0,0,0,1.0,1,Portugal,,,2,3.0
127,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Sweden,63.0,46300.0,David Alaba,4-4-2,Marco Guida,Match Report,,21.0,14.0,0,0,3.0,1,Austria,,,1,3.0
158,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1.0,1.0,Bulgaria,68.0,6700.0,Dušan Tadić,3-4-3,Craig Pawson,Match Report,,10.0,2.0,0,0,1.0,0,Serbia,,,2,2.0
147,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Lithuania,72.0,58274.0,Dominik Szoboszlai,3-4-3,António Nobre,Match Report,,27.0,10.0,0,0,2.0,1,Hungary,,,1,3.0
220,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1.0,0.0,Liechtenstein,76.0,2316.0,Marek Hamšík,4-3-3,Igal Frid,Match Report,,21.0,4.0,0,0,4.0,1,Slovakia,,,2,3.0
116,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,0.0,Estonia,67.0,11772.0,Romelu Lukaku,4-3-3,John Beaton,Match Report,,12.0,5.0,0,0,1.0,1,Belgium,,,2,3.0
106,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,2,3,Moldova,73.0,9442.0,Robert Lewandowski,5-3-2,Filip Glova,Match Report,,20.0,5.0,0,0,1.0,0,Poland,,,2,1.0
95,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,Faroe Islands,49.0,2507.0,Elseid Hysaj,4-2-3-1,Chrysovalantis Theouli,Match Report,,19.0,6.0,0,1,1.0,0,Albania,,,2,3.0
137,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,2.0,Austria,37.0,46300.0,Victor Lindelöf,4-4-2,Marco Guida,Match Report,,4.0,3.0,0,0,12.0,0,Sweden,,,2,1.0
23,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,2,Scotland,49.0,50062.0,Guram Kashia,4-4-1-1,István Vad II,Match Report,,9.0,0.0,0,1,1.0,0,Georgia,,,2,1.0
35,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,Rep. of Ireland,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,25.0,5.0,0,0,2.0,1,France,,,1,3.0
170,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,San Marino,85.0,36262.0,Simon Kjær,4-3-3,Vitālijs Spasjoņņikovs,Match Report,,32.0,6.0,0,0,0.0,1,Denmark,,,1,3.0
107,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,0,Faroe Islands,72.0,54129.0,Robert Lewandowski,4-4-2,David Smajc,Match Report,,19.0,7.0,1,1,1.0,1,Poland,,,1,3.0
96,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1.0,1.0,Czechia,43.0,18641.0,Berat Djimsiti,4-2-3-1,Anthony Taylor,Match Report,,1.0,1.0,0,0,3.0,0,Albania,,,2,2.0
148,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,Serbia,46.0,6924.0,Dominik Szoboszlai,3-4-3,Juan Martínez,Match Report,,9.0,3.0,0,0,3.0,0,Hungary,,,2,3.0
159,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,Hungary,55.0,6924.0,Dušan Tadić,3-4-1-2,Juan Martínez,Match Report,,15.0,3.0,0,0,1.0,0,Serbia,,,1,1.0
43,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,Greece,53.0,32079.0,Virgil van Dijk,3-4-3,Michael Oliver,Match Report,,14.0,6.0,0,0,1.0,1,Netherlands,,,1,3.0
86,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,0.0,Latvia,75.0,8152.0,Luka Modrić,4-2-3-1,Philip Farrugia,Match Report,,28.0,14.0,0,0,3.0,1,Croatia,,,1,3.0
14,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,Cyprus,57.0,6633.0,Andrew Robertson,3-4-3,Balázs Berke,Match Report,,14.0,4.0,0,0,3.0,1,Scotland,,,2,3.0
208,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1.0,0.0,Slovakia,56.0,21473.0,Cristiano Ronaldo,4-3-3,Glenn Nyberg,Match Report,,12.0,7.0,0,0,2.0,1,Portugal,,,2,3.0
221,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,1.0,Portugal,44.0,21473.0,Milan Škriniar,4-3-3,Glenn Nyberg,Match Report,,10.0,2.0,0,0,6.0,0,Slovakia,,,1,1.0
24,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Home,L,1,7,Spain,28.0,51694.0,Guram Kashia,4-4-2,Daniel Siebert,Match Report,,5.0,2.0,0,0,6.0,0,Georgia,,,1,1.0
2,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,7.0,1.0,Georgia,72.0,51694.0,Álvaro Morata,4-3-3,Daniel Siebert,Match Report,,33.0,12.0,0,0,1.0,0,Spain,,,2,3.0
55,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,Ukraine,68.0,39000.0,Harry Kane,4-3-3,Georgi Kabakov,Match Report,,11.0,4.0,0,0,0.0,0,England,,,2,2.0
138,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,5.0,0.0,Estonia,67.0,11411.0,Victor Lindelöf,4-4-2,Horațiu Fesnic,Match Report,,19.0,10.0,0,0,0.0,1,Sweden,,,2,3.0
182,2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,Israel,38.0,49193.0,Nicolae Stanciu,4-2-3-1,Slavko Vinčič,Match Report,,8.0,3.0,0,0,4.0,0,Romania,,,1,2.0
117,2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,1.0,0.0,Azerbaijan,54.0,4500.0,Romelu Lukaku,4-3-3,Nenad Minaković,Match Report,,16.0,6.0,0,0,4.0,1,Belgium,,,2,3.0
76,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,England,32.0,39000.0,Taras Stepanenko,4-2-3-1,Georgi Kabakov,Match Report,,2.0,1.0,0,0,3.0,0,Ukraine,,,1,2.0
195,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,2.0,2.0,Kosovo,66.0,12700.0,Granit Xhaka,4-3-3,Jakob Kehlet,Match Report,,13.0,4.0,0,0,3.0,0,Switzerland,,,2,2.0
64,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,N. Macedonia,73.0,28126.0,Ciro Immobile,4-3-3,François Letexier,Match Report,,9.0,3.0,0,0,2.0,0,Italy,,,2,2.0
97,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,Poland,39.0,21900.0,Berat Djimsiti,4-1-3-2,José Sánchez,Match Report,,7.0,3.0,0,0,2.0,1,Albania,,,1,3.0
171,2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,Finland,64.0,32571.0,Kasper Schmeichel,4-2-3-1,Szymon Marciniak,Match Report,,16.0,6.0,0,0,0.0,1,Denmark,,,2,3.0
108,2023-09-10,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,Albania,61.0,21900.0,Robert Lewandowski,4-4-1-1,José Sánchez,Match Report,,12.0,2.0,0,0,1.0,0,Poland,,,2,1.0
44,2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,1.0,Rep. of Ireland,48.0,49807.0,Virgil van Dijk,3-4-3,Irfan Peljto,Match Report,,9.0,5.0,1,1,0.0,0,Netherlands,,,2,3.0
160,2023-09-10,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,3.0,1.0,Lithuania,65.0,8586.0,Dušan Tadić,3-4-3,Sascha Stegemann,Match Report,,13.0,5.0,0,0,2.0,0,Serbia,,,2,3.0
87,2023-09-11,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,Armenia,68.0,14233.0,Luka Modrić,4-3-3,Clément Turpin,Match Report,,26.0,8.0,0,0,2.0,1,Croatia,,,2,3.0
222,2023-09-11,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,Liechtenstein,80.0,13679.0,Milan Škriniar,4-3-3,Sander van der Eijk,Match Report,,13.0,5.0,0,0,0.0,1,Slovakia,,,1,3.0
209,2023-09-11,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9.0,0.0,Luxembourg,66.0,18932.0,Bernardo Silva,4-2-3-1,John Brooks,Match Report,,22.0,10.0,0,0,1.0,1,Portugal,,,1,3.0
118,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5.0,0.0,Estonia,75.0,24127.0,Romelu Lukaku,4-3-3,Bartosz Frankowski,Match Report,,22.0,11.0,0,0,0.0,1,Belgium,,,1,3.0
139,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,1.0,3.0,Austria,47.0,43228.0,Victor Lindelöf,4-4-2,Serdar Gözübüyük,Match Report,,17.0,4.0,0,0,3.0,0,Sweden,,,1,1.0
25,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,Norway,38.0,23665.0,Guram Kashia,5-3-2,Nikola Dabanović,Match Report,,7.0,2.0,0,0,2.0,0,Georgia,,,2,1.0
3,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6.0,0.0,Cyprus,81.0,17311.0,Álvaro Morata,4-3-3,Simone Sozza,Match Report,,28.0,12.0,0,0,1.0,1,Spain,,,1,3.0
128,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,Sweden,53.0,43228.0,David Alaba,4-4-2,Serdar Gözübüyük,Match Report,,12.0,6.0,1,1,3.0,0,Austria,,,2,3.0
196,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,0.0,Andorra,84.0,9000.0,Granit Xhaka,3-4-1-2,Elçin Məsiyev,Match Report,,22.0,3.0,1,1,0.0,1,Switzerland,,,1,3.0
65,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,Ukraine,64.0,58386.0,Gianluigi Donnarumma,4-3-3,Alejandro Hernández,Match Report,,22.0,5.0,0,0,2.0,0,Italy,,,1,3.0
77,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,2.0,Italy,36.0,58386.0,Andriy Yarmolenko,4-2-3-1,Alejandro Hernández,Match Report,,9.0,3.0,0,0,3.0,0,Ukraine,,,2,1.0
183,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,Kosovo,72.0,29982.0,Nicolae Stanciu,4-1-4-1,Willy Delajod,Match Report,,21.0,8.0,0,1,3.0,1,Romania,,,1,3.0
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,Scotland,74.0,45623.0,Álvaro Morata,4-3-3,Serdar Gözübüyük,Match Report,,18.0,5.0,0,0,1.0,1,Spain,,,1,3.0
109,2023-10-12,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,0,Faroe Islands,66.0,3220.0,Piotr Zieliński,3-4-3,Allard Lindhout,Match Report,,13.0,4.0,0,0,0.0,1,Poland,,,2,3.0
184,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,0.0,0.0,Belarus,68.0,,Nicolae Stanciu,4-1-4-1,Espen Eskås,Match Report,,19.0,5.0,0,0,2.0,1,Romania,,,2,2.0
98,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,Czechia,36.0,20917.0,Berat Djimsiti,4-2-3-1,Danny Makkelie,Match Report,,8.0,4.0,0,0,7.0,1,Albania,,,1,3.0
88,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,1.0,Türkiye,63.0,12812.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,17.0,6.0,0,0,6.0,0,Croatia,,,1,1.0
15,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,2.0,Spain,26.0,45623.0,Andrew Robertson,5-4-1,Serdar Gözübüyük,Match Report,,4.0,1.0,0,0,2.0,0,Scotland,,,2,1.0
45,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1.0,2.0,France,46.0,51310.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,8.0,4.0,0,0,5.0,0,Netherlands,,,1,1.0
210,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,3.0,2.0,Slovakia,58.0,46601.0,Cristiano Ronaldo,4-1-3-2,Tasos Sidiropoulos,Match Report,,25.0,12.0,1,1,2.0,0,Portugal,,,1,3.0
36,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,Netherlands,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,15.0,7.0,0,0,3.0,0,France,,,2,3.0
223,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,2.0,3.0,Portugal,42.0,46601.0,Milan Škriniar,4-3-3,Tasos Sidiropoulos,Match Report,,9.0,3.0,0,0,9.0,0,Slovakia,,,2,1.0
119,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,Austria,42.0,47000.0,Romelu Lukaku,4-3-3,Jesús Gil,Match Report,,8.0,5.0,0,0,2.0,0,Belgium,,,2,3.0
129,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2.0,3.0,Belgium,58.0,47000.0,Konrad Laimer,4-4-1-1,Jesús Gil,Match Report,,16.0,5.0,1,1,2.0,0,Austria,,,1,1.0
66,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4.0,0.0,Malta,67.0,56186.0,Gianluigi Donnarumma,4-3-3,Duje Strukan,Match Report,,18.0,4.0,0,0,0.0,1,Italy,,,1,3.0
78,2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,N. Macedonia,45.0,12939.0,Taras Stepanenko,4-2-3-1,Slavko Vinčič,Match Report,,18.0,7.0,0,0,5.0,1,Ukraine,,,1,3.0
172,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,1.0,Kazakhstan,64.0,35845.0,Simon Kjær,3-4-1-2,Michael Oliver,Match Report,,18.0,4.0,0,0,0.0,0,Denmark,,,1,3.0
161,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,1.0,2.0,Hungary,64.0,58215.0,Aleksandar Mitrović,3-4-3,François Letexier,Match Report,,16.0,6.0,0,0,2.0,0,Serbia,,,2,1.0
149,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,1.0,Serbia,36.0,58215.0,Dominik Szoboszlai,3-4-3,François Letexier,Match Report,,10.0,4.0,0,0,5.0,0,Hungary,,,1,3.0
5,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,Norway,67.0,25885.0,Álvaro Morata,4-3-3,Tobias Stieler,Match Report,,13.0,2.0,0,0,2.0,1,Spain,,,2,3.0
26,2023-10-15,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,Cyprus,60.0,15871.0,Guram Kashia,5-3-2,Robert Jones,Match Report,,12.0,5.0,1,1,5.0,1,Georgia,,,1,3.0
110,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,Moldova,72.0,51672.0,Piotr Zieliński,3-5-2,Artur Soares Dias,Match Report,,21.0,7.0,0,0,0.0,0,Poland,,,1,2.0
197,2023-10-15,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,Belarus,78.0,17000.0,Granit Xhaka,4-2-3-1,João Pinheiro,Match Report,,24.0,7.0,0,0,0.0,0,Switzerland,,,1,2.0
185,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,Andorra,79.0,21723.0,Nicolae Stanciu,4-2-3-1,Kristo Tohver,Match Report,,17.0,9.0,1,1,0.0,1,Romania,,,1,3.0
89,2023-10-15,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1.0,2.0,Wales,72.0,31240.0,Luka Modrić,4-3-3,Davide Massa,Match Report,,10.0,3.0,0,0,3.0,0,Croatia,,,2,1.0
224,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,Luxembourg,47.0,9386.0,Milan Škriniar,4-3-3,José Sánchez,Match Report,,8.0,2.0,0,0,3.0,1,Slovakia,,,2,3.0
46,2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,Greece,60.0,24967.0,Virgil van Dijk,4-2-3-1,Alejandro Hernández,Match Report,,11.0,6.0,1,2,2.0,1,Netherlands,,,2,3.0
130,2023-10-16,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,Azerbaijan,46.0,4446.0,Konrad Laimer,4-1-4-1,Aristotelis Diamantopoulos,Match Report,,13.0,3.0,1,1,0.0,1,Austria,,,2,3.0
211,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,5.0,0.0,Bosnia & Herz'na,68.0,13047.0,Cristiano Ronaldo,4-4-1-1,Halil Umut Meler,Match Report,,9.0,6.0,1,1,0.0,1,Portugal,,,2,3.0
120,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1.0,1.0,Sweden,66.0,,Romelu Lukaku,4-4-2,Maurizio Mariani,Match Report,Match awarded to,9.0,3.0,1,1,5.0,0,Belgium,,,1,2.0
140,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,Belgium,34.0,,Victor Lindelöf,4-4-2,Maurizio Mariani,Match Report,Match awarded to,13.0,6.0,0,0,3.0,0,Sweden,,,2,2.0
56,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,Italy,51.0,83194.0,Harry Kane,4-2-3-1,Clément Turpin,Match Report,,9.0,6.0,1,1,3.0,0,England,,,1,3.0
162,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,Montenegro,64.0,25884.0,Dušan Tadić,3-4-3,Szymon Marciniak,Match Report,,19.0,7.0,0,0,2.0,0,Serbia,,,1,3.0
173,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,1.0,San Marino,82.0,2984.0,Simon Kjær,4-3-3,Viktor Kopievskii,Match Report,,10.0,3.0,0,0,0.0,0,Denmark,,,2,3.0
67,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,3.0,England,49.0,83194.0,Gianluigi Donnarumma,4-3-3,Clément Turpin,Match Report,,15.0,4.0,0,0,3.0,0,Italy,,,2,1.0
150,2023-10-17,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,Lithuania,65.0,5349.0,Dominik Szoboszlai,3-4-3,Juxhin Xhaja,Match Report,,18.0,8.0,1,1,2.0,0,Hungary,,,2,2.0
79,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,Malta,66.0,3547.0,Oleksandr Zinchenko,4-2-3-1,Morten Krogh,Match Report,,16.0,6.0,1,1,3.0,0,Ukraine,,,2,3.0
198,2023-11-15,21:45,UEFA Euro Qualifying,Group stage,Wed,Away,D,1.0,1.0,Israel,50.0,2024.0,Granit Xhaka,4-3-3,Anthony Taylor,Match Report,,16.0,8.0,0,0,1.0,0,Switzerland,,,2,2.0
