,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
119,2022-06-08,19:45,UEFA Nations League,League A,Wed,Away,W,2,1,wls Wales,56.0,23395.0,Stefan de Vrij,3-4-3,Glenn Nyberg,Match Report,,8,2,0,0,2,0,Netherlands
120,2022-06-11,20:45,UEFA Nations League,League A,Sat,Home,D,2,2,pl Poland,68.0,39382.0,Memphis,3-5-2,Halil Umut Meler,Match Report,,17,6,0,1,1,0,Netherlands
121,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,W,3,2,wls Wales,60.0,32247.0,Matthijs de Ligt,3-4-3,Horațiu Fesnic,Match Report,,22,7,0,0,2,0,Netherlands
122,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,W,2,0,pl Poland,59.0,56673.0,Virgil van Dijk,3-4-1-2,Alejandro Hernández,Match Report,,10,2,0,0,2,1,Netherlands
123,2022-09-25,20:45,UEFA Nations League,League A,Sun,Home,W,1,0,be Belgium,46.0,52314.0,Virgil van Dijk,3-4-1-2,Anthony Taylor,Match Report,,13,5,0,0,4,1,Netherlands
124,2023-06-14,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,2,4,hr Croatia,46.0,39359.0,Virgil van Dijk,4-3-3,István Kovács,Match Report,Required Extra Time,14,6,0,0,1,0,Netherlands
125,2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,L,2,3,it Italy,61.0,21292.0,Virgil van Dijk,4-2-3-1,Glenn Nyberg,Match Report,,19,6,0,0,0,0,Netherlands
126,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,4,nl Netherlands,50.0,38327.0,Eden Hazard,3-4-3,José Sánchez,Match Report,,13,6,0,0,3,0,Belgium
127,2022-06-08,20:45,UEFA Nations League,League A,Wed,Home,W,6,1,pl Poland,66.0,27409.0,Eden Hazard,3-4-3,Ivan Kružliak,Match Report,,18,11,0,0,0,0,Belgium
128,2022-06-11,19:45,UEFA Nations League,League A,Sat,Away,D,1,1,wls Wales,64.0,27188.0,Kevin De Bruyne,3-4-3,Benoît Bastien,Match Report,,9,4,0,0,1,0,Belgium
129,2022-06-14,20:45,UEFA Nations League,League A,Tue,Away,W,1,0,pl Poland,69.0,58803.0,Eden Hazard,3-4-3,Irfan Peljto,Match Report,,12,4,0,0,2,1,Belgium
130,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,1,wls Wales,71.0,28463.0,Eden Hazard,3-4-3,Ali Palabıyık,Match Report,,19,4,0,0,2,0,Belgium
131,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,L,0,1,nl Netherlands,54.0,52314.0,Eden Hazard,3-4-3,Anthony Taylor,Match Report,,11,4,0,0,4,0,Belgium
